epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4223,1.76529,4.8578,1.30492,0,0,0,0,1.36665,4.71071,1.04872,0.00011375,0.00011375,0.00011375
2,105.881,1.42702,4.52091,1.09931,0.03161,0.04143,0.02344,0.01557,1.15646,4.52671,0.98413,0.000229753,0.000229753,0.000229753
3,156.907,1.31017,4.14214,1.03638,0.04191,0.28253,0.09168,0.0608,1.18565,3.91622,0.96777,0.000343413,0.000343413,0.000343413
4,208.421,1.28856,3.81287,1.00785,0.06884,0.37696,0.13833,0.09852,1.16746,3.48226,0.97094,0.000441486,0.000441486,0.000441486
5,259.315,1.27312,3.50202,1.00541,0.51219,0.19211,0.18549,0.13699,1.14096,3.07308,0.97076,0.000436982,0.000436982,0.000436982
6,309.123,1.265,3.23385,0.99702,0.6226,0.23762,0.23964,0.17836,1.11694,2.66677,0.96228,0.000432478,0.000432478,0.000432478
7,359.06,1.2196,2.90049,0.9832,0.60804,0.28732,0.2871,0.21585,1.09029,2.46551,0.95453,0.000427973,0.000427973,0.000427973
8,409.763,1.23748,2.68647,0.99303,0.66236,0.32813,0.33468,0.25372,1.06114,2.26735,0.94862,0.000423468,0.000423468,0.000423468
9,459.621,1.22417,2.44383,0.97416,0.63552,0.35631,0.36298,0.27416,1.05111,2.11506,0.94332,0.000418964,0.000418964,0.000418964
10,507.304,1.14596,2.20809,0.96634,0.64748,0.386,0.39473,0.30082,1.00967,1.84526,0.9358,0.00041446,0.00041446,0.00041446
11,556.241,1.14733,2.04215,0.96219,0.68061,0.41214,0.42501,0.32671,0.97926,1.71089,0.92691,0.000409955,0.000409955,0.000409955
12,604.181,1.12683,1.88042,0.95222,0.63457,0.45857,0.468,0.35889,0.97115,1.6603,0.92127,0.000405451,0.000405451,0.000405451
13,652.62,1.09628,1.7595,0.94472,0.64288,0.47955,0.49408,0.38022,0.93215,1.54348,0.91064,0.000400946,0.000400946,0.000400946
14,701.895,1.07785,1.64016,0.94112,0.62397,0.5054,0.52177,0.39939,0.92014,1.46601,0.90652,0.000396441,0.000396441,0.000396441
15,751.517,1.07049,1.59933,0.94646,0.67899,0.51125,0.55775,0.42719,0.91087,1.35123,0.90606,0.000391937,0.000391937,0.000391937
16,800.918,1.03582,1.4647,0.93551,0.6817,0.54316,0.56906,0.43803,0.90511,1.29375,0.90612,0.000387433,0.000387433,0.000387433
17,849.302,1.04202,1.36985,0.93395,0.58946,0.5623,0.59416,0.45278,0.89658,1.21651,0.90044,0.000382928,0.000382928,0.000382928
18,897.694,1.00379,1.31781,0.92576,0.65327,0.59141,0.61716,0.47531,0.87075,1.1377,0.89428,0.000378423,0.000378423,0.000378423
19,946.841,1.02376,1.32216,0.92652,0.71911,0.58496,0.62671,0.47718,0.88614,1.12974,0.89687,0.000373919,0.000373919,0.000373919
20,995.987,1.03917,1.31232,0.92784,0.76181,0.59071,0.64428,0.49649,0.86902,1.09439,0.89034,0.000369415,0.000369415,0.000369415
21,1045.29,0.99271,1.2118,0.92061,0.70296,0.62817,0.67112,0.51271,0.86736,1.05939,0.89134,0.00036491,0.00036491,0.00036491
22,1094.65,0.98572,1.17491,0.91518,0.77397,0.62167,0.68191,0.52121,0.8551,1.00903,0.88892,0.000360406,0.000360406,0.000360406
23,1143.72,0.9884,1.16345,0.91694,0.76354,0.64301,0.70346,0.53883,0.85224,0.99751,0.88957,0.000355901,0.000355901,0.000355901
24,1193.21,0.97427,1.15628,0.91229,0.76649,0.68202,0.72794,0.55672,0.85295,0.96873,0.88679,0.000351396,0.000351396,0.000351396
25,1243.11,0.95343,1.0934,0.91029,0.79929,0.67856,0.73937,0.56458,0.84367,0.93716,0.88342,0.000346892,0.000346892,0.000346892
26,1293.35,0.95237,1.0758,0.91056,0.80094,0.70413,0.76165,0.58556,0.83414,0.88239,0.88307,0.000342387,0.000342387,0.000342387
27,1343.06,0.93224,1.03274,0.90694,0.8458,0.7046,0.77508,0.59377,0.84688,0.88943,0.88779,0.000337883,0.000337883,0.000337883
28,1392.99,0.93362,1.01866,0.90476,0.83682,0.70894,0.7798,0.59951,0.83869,0.86933,0.88431,0.000333379,0.000333379,0.000333379
29,1442.37,0.94778,1.01249,0.90392,0.84869,0.71742,0.7946,0.61122,0.81999,0.8356,0.87899,0.000328874,0.000328874,0.000328874
30,1492.03,0.95309,1.01008,0.9073,0.83226,0.72442,0.79999,0.61272,0.82519,0.85936,0.87894,0.000324369,0.000324369,0.000324369
31,1541.23,0.92533,0.98228,0.90023,0.80519,0.75213,0.81673,0.63121,0.80992,0.8244,0.87871,0.000319865,0.000319865,0.000319865
32,1590.1,0.90509,0.94531,0.90086,0.87384,0.73843,0.81358,0.62643,0.83346,0.81644,0.88254,0.00031536,0.00031536,0.00031536
33,1639.09,0.93922,0.96411,0.90244,0.88427,0.74666,0.82867,0.63905,0.8155,0.78664,0.87624,0.000310856,0.000310856,0.000310856
34,1688.44,0.92138,0.93776,0.90042,0.82394,0.76533,0.83166,0.63971,0.81848,0.79065,0.87704,0.000306351,0.000306351,0.000306351
35,1737.19,0.91566,0.93572,0.89734,0.83485,0.76887,0.83715,0.64799,0.81104,0.77867,0.87551,0.000301847,0.000301847,0.000301847
36,1786.87,0.91926,0.92709,0.89671,0.83797,0.79473,0.85028,0.65756,0.80598,0.75158,0.87501,0.000297342,0.000297342,0.000297342
37,1835.42,0.89019,0.9003,0.8922,0.83077,0.79742,0.84666,0.65588,0.81612,0.76808,0.87794,0.000292838,0.000292838,0.000292838
38,1885.92,0.91268,0.90514,0.88993,0.8548,0.7972,0.86115,0.66878,0.80079,0.73184,0.87342,0.000288333,0.000288333,0.000288333
39,1937.1,0.9099,0.88912,0.88962,0.83502,0.80392,0.85966,0.6668,0.80574,0.74575,0.87314,0.000283829,0.000283829,0.000283829
40,1985.83,0.92581,0.89341,0.89188,0.87342,0.78309,0.85998,0.66395,0.80895,0.75003,0.87483,0.000279325,0.000279325,0.000279325
41,2035.74,0.89246,0.86791,0.89042,0.85626,0.80629,0.86287,0.67185,0.80061,0.73759,0.87298,0.00027482,0.00027482,0.00027482
42,2085.13,0.89263,0.85221,0.88947,0.83753,0.82421,0.86805,0.67702,0.7964,0.71368,0.86993,0.000270316,0.000270316,0.000270316
43,2133.99,0.87761,0.83824,0.88746,0.83264,0.82992,0.87,0.67892,0.79239,0.71025,0.86884,0.000265811,0.000265811,0.000265811
44,2182.05,0.87298,0.83692,0.88934,0.82764,0.83201,0.86935,0.67962,0.78545,0.69594,0.86884,0.000261307,0.000261307,0.000261307
45,2230.79,0.87649,0.82974,0.88673,0.84892,0.83684,0.87702,0.68028,0.79578,0.69095,0.87025,0.000256802,0.000256802,0.000256802
46,2279.94,0.88913,0.85972,0.89255,0.84707,0.83938,0.87702,0.68344,0.78115,0.68539,0.86813,0.000252298,0.000252298,0.000252298
47,2327.92,0.87182,0.8211,0.88504,0.85245,0.83814,0.87646,0.67713,0.79,0.69638,0.8713,0.000247793,0.000247793,0.000247793
